car;area;mun
 RN-2409902-87449F2D8774482F895FBA2753B01681;167225;Pendências
 RN-2409902-2CCBA527E136404683EECEA73CA25227;232622;Pendências
 RN-2409902-2FE657BE06804B6990DCA1FB7A608E48;165800;Pendências
 RN-2409902-8B88A31761B748B094C9ACE7200ECD24;363687;Pendências
 RN-2409902-5F8BBC4916704353850034FD17166316;443341;Pendências
 RN-2409902-FD81B4907E58485B973F768308DA6019;320952;Pendências
 RN-2409902-9464E4FA34C84C1898A4C28F78A7810C;1238277;Pendências
 RN-2409902-8E6FE4AAAF744DB7B9DCE60A2520FE27;37426;Pendências
 RN-2409902-7C226C99189D4D6D8128A88DF49625B4;121236103;Pendências
 RN-2409902-D1BC55F6A5694CFCB14DE33CDB2C3D8C;201501;Pendências
 RN-2409902-5F61782BB80C4227B8B7792EEF71D0D0;43719;Pendências
 RN-2409902-2502AF29D6304F37BF51E4FD8D3DF130;51823;Pendências
 RN-2409902-21025FCBC06647BCB73CBF89E1305FD2;17981;Pendências
 RN-2409902-1E68C3DDEF3D4C0A9EEBB5453A21EDDC;0.0255;Pendências
 RN-2409902-ECC06F646CE442A8BD20CA5C785CB97C;1768666;Pendências
 RN-2409902-3D52D9CD51AB422E88D366496E4D4720;100062;Pendências
 RN-2409902-F1C8F52803A348869D0AD1B4DCC4E460;303094;Pendências
 RN-2409902-0B0D592BAE094C3EB4A6F166095A2DFC;491759;Pendências
 RN-2409902-A29705A92ADA4B7BA5B5085BA530A6D4;236006;Pendências
 RN-2409902-AABB50DD389344D48B94ED57A9C74D7F;185198;Pendências
 RN-2409902-2B0251DA59314F0B9210BF2D3626385A;321008;Pendências
 RN-2409902-D0C57391687643B593705BEC6FDF2CCE;22035;Pendências
 RN-2409902-F423EC8490E547D6868D427A5E942199;364712;Pendências
 RN-2409902-4C386BC1F4464EAA833C67FD8BCC6510;392216;Pendências
 RN-2409902-A4C6555B28D44EC3BA433F82CEE848F1;177250;Pendências
 RN-2409902-0A9E03FAD1664F23AF8A085D24933945;1865544;Pendências
 RN-2409902-F1867C003E4541D19BC2700028223AAF;220366;Pendências
 RN-2409902-39B40AA6F0FF40B1B6FEFD2A86E1E7CD;196859;Pendências
 RN-2409902-3C0B40446D8944B4B78E8074B39FF4B3;1215481;Pendências
 RN-2409902-5EA140ABF6D6418BA2BA64ED23A36CF3;1758769;Pendências
 RN-2409902-0136A9F501C846958912EF6F9ED046AC;377620;Pendências
 RN-2409902-19B48023440545328AE28D0E6A066FB3;1464817;Pendências
 RN-2409902-C1456934969D400A8AB7508395ADFCA9;135312;Pendências
 RN-2409902-02BDBE63300044DFAE6011DBB0998947;2817239;Pendências
 RN-2409902-7574473B96694B6A9832EB29718A5349;12993;Pendências
 RN-2409902-BCADF153EC784332AB9609DCC4AD9DD5;90999;Pendências
 RN-2409902-DDFA62649AA4462D8D738EBD9E805B5E;1110256;Pendências
 RN-2409902-D1D0EBCA58694DAB8EDB281B9194BF07;5866403;Pendências
 RN-2409902-642C1F33AF404E299DAC11752ACE9244;1276711;Pendências
 RN-2409902-4DE7CD7A5C80454C858D21BC7DA0DF30;307314;Pendências
 RN-2409902-CDF0929E44204C21B81A86F050C51447;0.1598;Pendências
 RN-2409902-9431D9D27C094716BECC21B06D5BDAD4;0.1545;Pendências
 RN-2409902-BFF2B0938DE343D287024883722EAB8C;0.0651;Pendências
 RN-2409902-AC68295B6E2F4A9295A0D4FC01E09EDD;10022;Pendências
 RN-2409902-9AFAC4FC1FCE4EB1A17DCBDF28089C4D;2228820;Pendências
 RN-2409902-ED595264455148EABF57CAC278162C81;0.0226;Pendências
 RN-2409902-5929734A95A14EC684FD6A837188DF26;195980;Pendências
 RN-2409902-592713B7F3394DE8A064055835D03661;10371;Pendências
 RN-2409902-C8AF5E9484E24EA8B448A94BC2BEEF02;164653;Pendências
 RN-2409902-9F2090BF97534A77A0F5043F3406AB3B;400606;Pendências
 RN-2409902-8F122A4C888F47A5882B7E7B633B80AB;260515;Pendências
 RN-2409902-28F7EA31D1F44E1D983720D94566FD66;70996;Pendências
 RN-2409902-F47635DDB07145AA89AD74DBB902F2A9;27730523;Pendências
 RN-2409902-B6858E1C47BF460A85AEE32C2CDBA0AD;0.5406;Pendências
 RN-2409902-874E06654E724F97815990637E1B16FF;741058;Pendências
 RN-2409902-CB8FC0ECD26141BD8EAE1157E70327E3;9216322;Pendências
 RN-2409902-9BF34B1A048C4F9E944B04D79685BAF9;536600;Pendências
 RN-2409902-07DCF77893BC4098BD7205AF62F7951E;542560;Pendências
 RN-2409902-09394F15A8E94140869A37211EEBA1BC;212101;Pendências
 RN-2409902-59791CE44516447A900492FDE7E35DE1;282951;Pendências
 RN-2409902-24859C172C274858A9EADB12FFD5C2BC;900783;Pendências
 RN-2409902-FA3F269E42CF402EB388FE76199D7E8F;11173;Pendências
 RN-2409902-E39610BF8F7642FF973B5F977D970896;2618369;Pendências
