sigla;imoveis_car;area_car_ha
AC;34136;11955034.34
AL;60780;1435935.46
AM;40735;52467158.62
AP;4567;4340220.25
BA;512499;21181671.99
CE;122308;6403264.99
DF;12657;697808.74
ES;69242;2789350.84
GO;141592;27385964.29
MA;78215;19966615.11
MG;689213;42931859.59
MS;44363;17747625.44
MT;113253;68990298.58
PA;195632;65909341.09
PB;104598;3129736.47
PE;204730;5486557.33
PI;127822;12689870.26
PR;410749;16602212.11
RJ;44649;2268455.86
RN;51222;2984146.14
RO;110648;13147372.78
RR;7528;4742248.32
RS;530321;20756863.54
SC;317408;7327028.21
SE;49896;1332883.96
SP;335684;20446856.77
TO;61487;16756783.34
