car;area;mun
 RN-2410256-D624DF3F0B4246C5A9A1A7B8D2ADDEF4;27804;Porto do Mangue
 RN-2410256-BD20F4BD775641759CFF3A010369A580;6403315;Porto do Mangue
 RN-2410256-953C73B12C51431483D1F70E7B703768;0.1510;Porto do Mangue
 RN-2410256-F017E70A024B41D386EC853DD0E99A65;0.1875;Porto do Mangue
 RN-2410256-1126C32A1D6B437B99EF8A9344FC94C5;0.9172;Porto do Mangue
 RN-2410256-3BCE0FBFE2F5440B87B4A468BB6BE3AD;28543;Porto do Mangue
 RN-2410256-63E7C5320AD146F687D25E79E9D89D29;10962;Porto do Mangue
 RN-2410256-EC2499C35D754221894708B9DA7EEDEC;0.8546;Porto do Mangue
 RN-2410256-DCB51B33BFCE4B1788FCA8D0A35DE0AE;18629;Porto do Mangue
 RN-2410256-CB8A51A82E6943F49698CC1CA25F77DA;0.3191;Porto do Mangue
 RN-2410256-6B5181E32CA74D81BA8C8A642B7A50FD;0.0696;Porto do Mangue
 RN-2410256-003B7FF5FB3E4122A5279DFB6BE2B5C2;14359;Porto do Mangue
 RN-2410256-F69195780A8F4D099F2ACA1C355622B3;22564047;Porto do Mangue
 RN-2410256-378B97E99BF243DBA4A78A7F52DE3CD7;32969;Porto do Mangue
 RN-2410256-46A7E48AC9574C1986CB305FE951E1F8;21861;Porto do Mangue
 RN-2410256-0CE934D9695F4713B3B91CA999FD6B7D;15047;Porto do Mangue
 RN-2410256-C9679BE565D54A44A2277945E193E844;63230;Porto do Mangue
 RN-2410256-1100C99B108647A9B05A21B6B4B4DBFF;0.0736;Porto do Mangue
 RN-2410256-709DE63EC43D47F9BC8E8FA5E991EAC4;0.3372;Porto do Mangue
 RN-2410256-6B1186BFA71F49FDBBAAD57B85E851C7;14756;Porto do Mangue
 RN-2410256-785B40B36D5F4B8799769575537A83B2;42167427;Porto do Mangue
 RN-2410256-377EB668FC8F400BA6F57F8EFB90437A;0.7881;Porto do Mangue
 RN-2410256-64E13D462C414C6D81855AC14DF87EE0;9852732;Porto do Mangue
 RN-2410256-6A2A568FDC7E4DA3AA391A9243C1A2E0;10158;Porto do Mangue
 RN-2410256-7AEEE19BFA074E86B4A26012610B61C7;0.4913;Porto do Mangue
 RN-2410256-D7D9F0ADCBF24FCDBEA83969DDFBDCA5;0.2898;Porto do Mangue
 RN-2410256-A189391C743F428A89402DEE92E3F311;0.1082;Porto do Mangue
 RN-2410256-3C13DFED93484DFE816597DB389B88B3;0.0229;Porto do Mangue
 RN-2410256-2B40E6956D974478AE90EE48CD8E705D;0.0834;Porto do Mangue
