car;area;mun
 RN-2404705-58A8AE2BB0484CFF8F4F10021DD52855;362325;Ipanguaçu
 RN-2404705-54EBB33B56E243AE82C2DA20AB522265;110645;Ipanguaçu
 RN-2404705-606B1C197B604534925414E5A9A3C821;472457;Ipanguaçu
 RN-2404705-3F156A7C7120435BA96F76B6B28733BB;372519;Ipanguaçu
 RN-2404705-BDAF54DA76F44204A83BCFBFF95E69A1;99042;Ipanguaçu
 RN-2404705-5EA519B401D444DB973EAB226E7E94FA;242548;Ipanguaçu
 RN-2404705-273C38FADC4B45E0856221D0EBDD3121;271861;Ipanguaçu
 RN-2404705-7AD3F7C51DE7477E85AC6850CD254C80;110603;Ipanguaçu
 RN-2404705-A4FB615A89E8407D8C17ED06CAB93D27;169839;Ipanguaçu
 RN-2404705-9AECDEE55077435797245A3F23529299;427112;Ipanguaçu
 RN-2404705-3F55DE18C9164BDF8DBC6BDA90EA2968;398938;Ipanguaçu
 RN-2404705-68E2BBFE000C468EAC73A6B749ACC99A;52296;Ipanguaçu
 RN-2404705-A973BDCB810F4E23ADEFBD1905F75A8F;378358;Ipanguaçu
 RN-2404705-281E000275694FE5A341F1248BA02C0D;296227;Ipanguaçu
 RN-2404705-5BBD437752534A8E9A4A1F05FDAF4666;370985;Ipanguaçu
 RN-2404705-42E5A31D7795444B9E22E3A067AF5B93;273956;Ipanguaçu
 RN-2404705-577DD879D5F34B8DAD5DDE57632667CE;191124;Ipanguaçu
 RN-2404705-013BF62FA7B14E549AC4DA38C5E3ACC5;242809;Ipanguaçu
 RN-2404705-F01A241DAF41475489512AEC96395A54;949652;Ipanguaçu
 RN-2404705-6506D63070D64271B80B41B75DFEB2CC;134159;Ipanguaçu
 RN-2404705-271DB7BC6D9345D0BE35CACD56318A81;526920;Ipanguaçu
 RN-2404705-44BE63FD5DA74C41BF61BF570208E404;206419;Ipanguaçu
 RN-2404705-58916F9334694AC0806778431C0A4606;140916;Ipanguaçu
 RN-2404705-EF7D43B17227493CA560B1CD32E664EB;608526;Ipanguaçu
 RN-2404705-D6E1765BB5F54C36982BA6BE4DE4994A;274132;Ipanguaçu
