car;area;mun
RN-2400703-8A60EFD161334FF7AF2B2D0AA38626E5;52827;Alto do Rodrigues
RN-2400703-E23EA38E382B435F9C0259E83A769670;52270;Alto do Rodrigues
RN-2400703-3FFCFF283858436699CB2C3541BECE8B;84069;Alto do Rodrigues
RN-2400703-A7A82C19833A4BE9B32136D8043703F1;182440;Alto do Rodrigues
RN-2400703-8C545841E2994759ADD0ADD356D424F1;408625;Alto do Rodrigues
RN-2400703-2F2FF70D995F4C94B1691947899E1EBD;308304;Alto do Rodrigues
RN-2400703-B039448DF80941ED9309B5154063889D;149645;Alto do Rodrigues
RN-2400703-846A0F2307844A87B3B03480DF40A187;83264;Alto do Rodrigues
RN-2400703-CCCE3112F5634C49BB6A9D64A91BFE96;113007;Alto do Rodrigues
RN-2400703-3D215D7A864541B7B1752257190031B0;154519;Alto do Rodrigues
RN-2400703-425EE65FA5764D7D88C2D1FCDA911A8D;172946;Alto do Rodrigues
RN-2400703-ECB1BDBF558B4AD9A943CAD3E03C23A0;68478;Alto do Rodrigues
RN-2400703-2CF72C56C3254A1182602436D0BB60A3;225585;Alto do Rodrigues
RN-2400703-ACCBDB6F2E904F1781676D811308F5CF;1317713;Alto do Rodrigues
RN-2400703-4DB527AA80E14356A3034FA381ED5B42;81630;Alto do Rodrigues
RN-2400703-6C6087B80A6B43EC8571E520A07252BB;250832;Alto do Rodrigues
RN-2400703-D76B622B2BF64A32BD9B0798BEDD1A5B;87567;Alto do Rodrigues
RN-2400703-201FD948B1D74FFEA5C715BF285E0E3C;753837;Alto do Rodrigues
RN-2400703-1FA6895D5E4446B59279711669D71946;81632;Alto do Rodrigues
RN-2400703-9050BC82B8D847CAB91E111BBC6CF5EB;30588;Alto do Rodrigues
RN-2400703-5EE00A14CF9C42389438708CB2BB4E5E;467878;Alto do Rodrigues
RN-2400703-EA140605D50942ABA6B00915C8C0009A;1644068;Alto do Rodrigues
RN-2400703-45AC978CEB7F41599EA4FCD138924F30;7161480;Alto do Rodrigues
RN-2400703-FA6393CA1FA64278AF64361B5E34EE36;315923;Alto do Rodrigues
RN-2400703-0A6709D2499B4E91B234CAB0594022E4;335794;Alto do Rodrigues
RN-2400703-0A5DC02535CB466193485134E8B524AB;185225;Alto do Rodrigues
RN-2400703-E90F0FA8E2D5414FB7495E97EDCE33A5;178647;Alto do Rodrigues
RN-2400703-1B20B30C5D0E4898878745931039AF70;111176;Alto do Rodrigues
RN-2400703-54F9D8940E0C4222B69F32DC45462369;90634;Alto do Rodrigues
RN-2400703-DE6542B2C2134546A80C531BAA90E05B;31121;Alto do Rodrigues
RN-2400703-C8F665684A26435DB74FC27C7DF2745E;81426;Alto do Rodrigues
RN-2400703-822C600FF5F14BE8A5A764F794ACEA9D;33572;Alto do Rodrigues
RN-2400703-873E4C4537374E65A4D1FE96C6BC98E6;1173914;Alto do Rodrigues
RN-2400703-5C9AC27ED0FE4CA59CFA3B8F87CEF9D4;688512;Alto do Rodrigues
RN-2400703-585447ECFED540D6AE5472740786C970;446846;Alto do Rodrigues
RN-2400703-414CA1EA20604ED58734112F062F3633;88645;Alto do Rodrigues
RN-2400703-A9886FFF4A7240799008ABFA4893A34D;1062867;Alto do Rodrigues
RN-2400703-9CD2E1BD8FB7482DB7532DC9447C0756;81625;Alto do Rodrigues
RN-2400703-9A9F1E0D99D04477898D007220B16D03;83155;Alto do Rodrigues
RN-2400703-0AFA93DC2FE541589D6B767BA59C0A21;66198;Alto do Rodrigues
RN-2400703-A434F165682343D798655A02C5CBE4FB;90452;Alto do Rodrigues
RN-2400703-A810BA63537745CF8B5E377EEC94FB9B;47014;Alto do Rodrigues
RN-2400703-0726E114BB574CB18E03A604821DFD69;0.1418;Alto do Rodrigues
RN-2400703-DF95A200710E4917BB9EF59B256C8421;225585;Alto do Rodrigues
RN-2400703-D5B3DBB8D8EC4B2FB6BEC0B1DFE92FE0;150774;Alto do Rodrigues
RN-2400703-6154B4492BD8409E940921A63248CF49;44763;Alto do Rodrigues
RN-2400703-F0D9BB9C372B4DD79F4FC74BFBA226DE;315063;Alto do Rodrigues
