sigla;nome_munic;imoveis_car;area_car
RN;Açu;494;633.101.443
RN;Alto do Rodrigues;80;122.535.875
RN;Carnaubais;137;326.071.311
RN;Ipanguaçu;243;408.723.645
RN;Itajá;87;301.720.302
RN;Jucurutu;842;54.180.706
RN;Pendências;63;334.719.485
RN;Porto do Mangue;151;155.807.571
RN;São Rafael;41;187.647.652
