car;area;mun
 RN-2400208-88D918D26997494EACB9791EAD9BB3F4;383018;Açu
 RN-2400208-77F5B88E125949FE9EF0D54E1A3E52C1;10569;Açu
 RN-2400208-EF39503652134D38B64A201BAD7E8151;59702;Açu
 RN-2400208-E849790628CF466AB6E6A517A0BC9649;16969;Açu
 RN-2400208-CA6C0A2F1F40489EAA87806DF5E2BCBB;192200;Açu
 RN-2400208-9B82AA4CC9D14FD3ABAA79C2A64976F5;549800;Açu
 RN-2400208-2A3940DFE9CF45EFB875B8456A4EE983;3233925;Açu
 RN-2400208-FF7F5E4161AD402E85D08B46CB7B3A1F;63428;Açu
 RN-2400208-73E72B06974549FBA1C7F324405A94B1;66910;Açu
 RN-2400208-90BF183C47024BCF9AB3775F4EF4668B;66077;Açu
 RN-2400208-48B6033120DC40A0A224BDCB9DC8668F;1061259;Açu
 RN-2400208-E5229C2C58554B25A3992C67E24002F1;434961;Açu
 RN-2400208-1EBD59E5D7FF4A7EBD7AC6AE42A3C19F;233495;Açu
 RN-2400208-F42A0F1C18724B1DBAE17416F04416E9;272429;Açu
 RN-2400208-B61E5CDDA20146348E510355DF7096D1;141365;Açu
 RN-2400208-055525B1C3244B638A623635516BFE3E;204232;Açu
 RN-2400208-94962A4A2492480FB5B077276F949C5F;129675;Açu
 RN-2400208-C79F77856BDF4797A627B4C5BE14FE00;276679;Açu
 RN-2400208-AFB1AAF33719422CBFC359217E956017;151395;Açu
 RN-2400208-89720BEAD469426196FB3A773C1620E4;127878;Açu
 RN-2400208-0A507B005D6A4000AD3D05A15DAD931C;512034;Açu
 RN-2400208-7E576548F2DD49DF9D9BA080F5141744;2324636;Açu
 RN-2400208-3F0546F953414E2B9029CBC5E480C2D8;200038;Açu
 RN-2400208-BCB5F1827EA24D908F6E2F93BC9459D3;163243;Açu
 RN-2400208-794128A476C04EA4AEA8FB28EF5F6A97;15079;Açu
 RN-2400208-458E2EAEC4B14A85A2CD1AE80668C7C0;285389;Açu
 RN-2400208-69FA03E2B61D445FB7C1D8EE62F5C6CA;150759;Açu
 RN-2400208-92767498DAFA4601859504C768DA98A0;272316;Açu
 RN-2400208-1FA84BD268054E4E8A098A59A742D68B;59602;Açu
 RN-2400208-033444132ED84B7D8693EB626AE91193;5662731;Açu
 RN-2400208-4677B3F7845545E8AF4280BB0D7A8BC3;368353;Açu
 RN-2400208-D3AA1CA89C2346BFAD1D66C0D9DD8BF1;374845;Açu
 RN-2400208-42DECA7C009240E4828F63D8A2AA0009;374570;Açu
 RN-2400208-E7F8F661307D42E497E5A6C6D792E55D;174199;Açu
 RN-2400208-98A19D4641604FFAA6B156E1C17F3955;1065478;Açu
 RN-2400208-C6266E94128F4C1FAD931E1927B94645;3123042;Açu
 RN-2400208-84BF7CD7A55F46C28F4A8032A81E1715;90689;Açu
 RN-2400208-82FC48C05D67444CA8028CC5B659DA5B;59869;Açu
 RN-2400208-F66710F0292842D09C3349EC796AAFFF;720703;Açu
 RN-2400208-8A08AC360BDB42F4A50C2A55A198A561;41254;Açu
 RN-2400208-F1BD795DBDF64F9086F6C4F33C2BCC2A;537893;Açu
 RN-2400208-7E83B3E76AAA419F89730E1F4E8A8DA2;154025;Açu
 RN-2400208-9650851B02544BA997C2AF2AAE3DAB8C;107139;Açu
 RN-2400208-0FB523FB18E24DE39BB609310DE9C75A;267359;Açu
 RN-2400208-4549EFB09A2A43B28A8DEEA943DEA892;77184;Açu
 RN-2400208-170A9F62E8E145C7BA1BDED539A5EA0D;182843;Açu
 RN-2400208-7569924613B049D5AD7F02246FF91F6B;169773;Açu
 RN-2400208-9E42F1A962A243F1B2124DD528C582CE;320109;Açu
 RN-2400208-DECBC8E64FD145CCBDFDCB2611D75CBF;547472;Açu
 RN-2400208-93032616358C4823B1F195FF9A2152CC;727100;Açu
 RN-2400208-967A97CEF000426EA1B45C59E77A6BDF;340921;Açu
 RN-2400208-D74DF74C418D4527AA2F14B95F64A71B;1604116;Açu
 RN-2400208-B072E06B8AC04C23A44FF71447051AE7;522813;Açu
 RN-2400208-48C9E7519E294CBCB9DD2F1CCB7FA148;145591;Açu
 RN-2400208-8BCEA4DE992F42AAA884E31AC10EA6F2;499356;Açu
 RN-2400208-63A737AEAEB54AF99FC192C0B709EFFA;87069;Açu
 RN-2400208-29B09C89103E4485898AAFD4795C96B4;177130;Açu
 RN-2400208-33ECBF5EFE8849F39432EE17651DD7BE;1663471;Açu
 RN-2400208-7F252E3551944914BA3C6852DF6A2EE4;1663083;Açu
 RN-2400208-98ECD3F842934694B9786DA6FB1444AF;101700;Açu
 RN-2400208-66BAD0C443184701926C7A2A1C29249D;121442;Açu
 RN-2400208-4D30E547CCDB469995FBEBF59C63A5BC;2003662;Açu
 RN-2400208-2B811583AD5F49C2A5D7F99A69AF55DD;1045910;Açu
 RN-2400208-9EB8BBB0A8944CC5995B3BAA0DD74991;1043813;Açu
 RN-2400208-93ECDE9196434176BDD04E1EA67CADF0;14466;Açu
 RN-2400208-8803AF8FFE544FEC92E5C215CED6AA05;0.7858;Açu
 RN-2400208-56E0AF3451A246DB9130EFE42C833463;519376;Açu
 RN-2400208-7AE6B25562E04D319041F4F83DA420A3;177142;Açu
 RN-2400208-FB50DE7474614155864A1480E882DCA5;1796011;Açu
 RN-2400208-A192075099A84E3699E7BEB89E023A67;395441;Açu
 RN-2400208-1641FDF33F444758906E92666531D8C9;4369226;Açu
 RN-2400208-A2128B2AADF44CB1A18493495765C722;113814;Açu
 RN-2400208-736D56AC39764B9B9BFC2A3ED48E0DA0;1260587;Açu
 RN-2400208-71B42084992148C1A9A2821617016C40;441991;Açu
 RN-2400208-680CA4C45AB74D67B676569514411529;192473;Açu
 RN-2400208-35D777C14F9F45D2B59EFF1D0B79F3B6;305994;Açu
 RN-2400208-2FC461BA8BB84A209149D59AC4610612;322180;Açu
 RN-2400208-074836105DD141EFAA39DCE01F716C8A;294617;Açu
 RN-2400208-0B9600DB00D14C13AB3E34DEBD3069F1;283473;Açu
 RN-2400208-235D23D80D524FC9A4EF1242EC8B1221;616374;Açu
 RN-2400208-5FAEFE752BA9494BB1ACD4E18226ECF2;72608;Açu
 RN-2400208-296D911922FB40A8ABD6D3BE1D6D9A14;456760;Açu
 RN-2400208-0A7E1CF4BFCF4E1B831D822F729ABE04;199458;Açu
 RN-2400208-ED6B3F638A974517988EA4548260BE06;77251;Açu
 RN-2400208-DF9E0507DC1C43FE9B212BE4ABEBA71F;146327;Açu
 RN-2400208-EE56918E477049188512FBE9D25B5247;199023;Açu
 RN-2400208-F09F030D9FAB43AAB8A04A2D386E174E;374290;Açu
 RN-2400208-B1D61EECB8434FCC9C724AFFB7A2F03B;310843;Açu
 RN-2400208-9416AFFE15F24A87AE23DA05C7189AE1;351223;Açu
 RN-2400208-9E86E6765AD94011A86348209AB13F25;194389;Açu
 RN-2400208-25B31CBAACCE4F999DB2270A9D12EB1D;24630;Açu
 RN-2400208-BD46D4230B83499CAF17596D25493654;964175;Açu
 RN-2400208-EA20B3861B404E52B2599C4F26A7AE3A;60534;Açu
 RN-2400208-F2A5831E6391411F811A6BE93F96AFC5;23459;Açu
 RN-2400208-8ED3F584727442C4806FF4D4C433D1F3;278706;Açu
 RN-2400208-502948B9DE394BA5A990579A6C404878;344485;Açu
 RN-2400208-A9EFAFBE626042AEA8A93CA1E37CD6EE;1853418;Açu
 RN-2400208-41802C63651F478E8F1369412032A5A9;1849627;Açu
 RN-2400208-47EB2F7A2E4D4EBE9EC4CEE99E911F42;102957;Açu
 RN-2400208-1ABE85F444BE4EA699F3355FAE72C5E1;814540;Açu
 RN-2400208-D4E893C2B8374C5AA84B2EED3B54FA9A;243682;Açu
 RN-2400208-1849264BDE9D4A7BAC4D7A9C27485977;2359943;Açu
 RN-2400208-533A3835C15540A59800E6A94DE6247E;167049;Açu
 RN-2400208-A42F4529892B4313923DF2DD2358D5F6;187380;Açu
 RN-2400208-E19F13D696644F92B874191253A48D90;203660;Açu
 RN-2400208-EEDA0C2065374BA89FE44B913C884E98;283581;Açu
 RN-2400208-7D281546A9874DBC9B44DBE2244CBB94;418603;Açu
 RN-2400208-4461D57174724CA182217951A0F52D49;61354;Açu
 RN-2400208-F9158D59CDB842D78BB9E08FBCA2FC2D;153524;Açu
 RN-2400208-BFAB1EB85C7045EB8922EAD83B5C1E5C;144600;Açu
 RN-2400208-21584969A2B141F1B73A6688AF152E0B;217439;Açu
 RN-2400208-B906437B4B1A4971AA58FD3E719585B1;200604;Açu
 RN-2400208-E609349D610640F3B4A3491D638C01E8;326607;Açu
 RN-2400208-7392DC799D7A4A71AF8330A4E98D65BB;481407;Açu
 RN-2400208-E82115F04A0542109DE315323433EA8E;60347;Açu
 RN-2400208-7A084F5B2DCA481B95F5E9A81E06B3FD;324647;Açu
 RN-2400208-28DB461CEE2F4260AD2DEEFC7CBF8E1E;299683;Açu
 RN-2400208-EBF9EE82A9974FF7820BED80115ADB03;1109146;Açu
 RN-2400208-FC8F2D28577B494C87D2DAA697C0F0D3;61303;Açu
 RN-2400208-B2C25D1C7F55491AA08743B5334C48A4;0.9969;Açu
 RN-2400208-CC372A4B6E8A47CCBB77FDD5D0D6C39E;89874;Açu
 RN-2400208-596A80C7ED4A4978904A159D0260A8F9;155004;Açu
 RN-2400208-F8A6E54F71A14306BDA37D7248DB16B0;87949;Açu
 RN-2400208-2C226B69628345A98DE55E7EE7961D63;449784;Açu
 RN-2400208-CCAD0507F87C433BBB9F0A6A7D2BFC4F;422337;Açu
 RN-2400208-77017E6A888845A289129C0380EAE736;250333;Açu
 RN-2400208-6AFFDE593F274C0DA5B433F51488ED97;1962885;Açu
 RN-2400208-4883CF7386934421AF4BF62E1830EE98;84877;Açu
 RN-2400208-293887D2E6D24D8792142C9939A49ABD;834009;Açu
 RN-2400208-15C2B83E971247AE9394A48B72E2A59E;424458;Açu
 RN-2400208-23BD20FEA58149B1830F837CE0B6B9C7;24436111;Açu
 RN-2400208-C271221D938244488616B22A4B213604;97049;Açu
 RN-2400208-F32702D60FC1404F9E5C426D3CD9838C;303907;Açu
 RN-2400208-B8208EBDD2474A2A85432C4E93B14FC6;162207;Açu
 RN-2400208-2057C99D5AF0456280B1265BC01E3506;11078;Açu
 RN-2400208-8D493134145C4441B6DB5DDFC063CD22;113380;Açu
 RN-2400208-4A10E27199F94D27A3C4B2F53207A025;115892;Açu
 RN-2400208-4F1EA3D1216742DE9322AEEE9BAF00A1;449801;Açu
 RN-2400208-F1F0B7E19EA94E19834E4D54514714CA;305220;Açu
 RN-2400208-CC62CE9B3198453285D4BCC53C6A446D;102481;Açu
 RN-2400208-C93A732B051B412181C2E0A029BD39EF;732158;Açu
 RN-2400208-B293EDA1444B4A79B27D4D712523CF53;805793;Açu
 RN-2400208-FE84B1F5C70E460FA78FC099C3DBBA41;593540;Açu
 RN-2400208-1CF49F908C87402E86D93B579238990C;857286;Açu
 RN-2400208-69F884EFF3FB48EB897E49529A5EF39E;42270;Açu
 RN-2400208-70A60230E1B24E02815BE773F36C64B7;115971;Açu
 RN-2400208-6C880F88DBF64F4884B2809FC0DA0D31;3023342;Açu
 RN-2400208-68B85150A06E4AF29BF6DC0FD03EEF3D;464283;Açu
 RN-2400208-FAC97C9763B04416ABD3D2E2BA25CBCC;67617;Açu
 RN-2400208-C9C0EF3EF00146D2B898D03BB647585C;317909;Açu
 RN-2400208-53DE3100E0A6435984397AF5F45872F8;696298;Açu
 RN-2400208-F8B4F9ED2BC54194A8BC04B129162684;427341;Açu
 RN-2400208-B7783C1AF02B40C8A5DADB254772F2FF;242104;Açu
 RN-2400208-C3150BEB7CB047B2B9DA0876C3EF652D;11898211;Açu
 RN-2400208-BDDD2B449A924F1FBE0C2AFA211BC802;374732;Açu
 RN-2400208-4AE81B31E7BE458FAFE699F7ED0307F5;505578;Açu
 RN-2400208-B31C87BDF734419ABEE4462E67C23A8B;446586;Açu
 RN-2400208-634839700C1B4D9090E3CE4E235AA8EA;2969723;Açu
 RN-2400208-815F79FC2DC547BF8A05D1BA7B07F11F;374707;Açu
 RN-2400208-D8CDE64CC5AF466CA63C16BB2DDD2DB9;365975;Açu
 RN-2400208-CD90B804C100425C8FA821D94E068396;3270929;Açu
 RN-2400208-F7128AAD96D84E8FBFDE62ECE0CE7B66;200072;Açu
 RN-2400208-09FEF01A4E464733B4E5C62B6CC7A446;1200881;Açu
 RN-2400208-0D9F9D932CD2446493E93273ABD752A4;77541;Açu
 RN-2400208-79EBDCD225414027907A0DC4D0851951;362430;Açu
 RN-2400208-E132BDA0ECD94359BFED65B2D3999221;154046;Açu
 RN-2400208-4C50A79118BD434FB38353B2F35F1B5F;374516;Açu
 RN-2400208-D6B9CDAE84934A1BB2FBAAF24F64DE1F;130092;Açu
 RN-2400208-4B676B7093CE4B5DA6079602CE2069BA;367506;Açu
 RN-2400208-2616F937ADE84D8597463261861516E9;395078;Açu
 RN-2400208-545FA7A7A6FC4767B433B342E0076F65;8715433;Açu
 RN-2400208-35B89907845E42CEB2627F126B171653;164987;Açu
 RN-2400208-254A73F8B18B483C8BBC8FCB33BF7E4B;139761;Açu
 RN-2400208-F1ED0FE8F4184F4CA8234776DCC65588;1438781;Açu
 RN-2400208-F10C4CEED3C744AFA474EA4CA8130265;321366;Açu
 RN-2400208-E43C317ACF0B440FB7AC671C753ECDF7;217348;Açu
 RN-2400208-D7C8C8B74F324519A17B0B64B5FEAC52;772631;Açu
 RN-2400208-640F344587854F389A65F4C49C7C621D;1962876;Açu
 RN-2400208-C77A867B9EDD40D1BEC9229E2452984E;1791262;Açu
 RN-2400208-BCEC678B394F471F92ED01CB18595FB0;141670;Açu
 RN-2400208-71F436B9587548D8B8C1B9E6ADAEA012;540081;Açu
 RN-2400208-149D15340A00479A8D382BEE5ABBB431;834054;Açu
 RN-2400208-89DD7E749A5847CF9A29CE8CDB0DE8EA;374801;Açu
 RN-2400208-E82387A413DB469BBD5023082254C5E2;636191;Açu
 RN-2400208-2B875D434D644030A4704AE88B4029E4;604130;Açu
 RN-2400208-024ED3E8511B4770B3C93415AAF30747;1573743;Açu
 RN-2400208-028F6E739E5345C8A07F0CD5898176A1;1371018;Açu
 RN-2400208-A415A41CA55C40E29D96CFED4E0A8669;6652792;Açu
 RN-2400208-B3FF758EF71A46B1BF9EE2FBBD9976DB;1098315;Açu
 RN-2400208-259C7A638DDA4117B3C5DC2C11CC4C5C;634080;Açu
 RN-2400208-D774CD0EAED0427C81D1ABF103644E13;194649;Açu
 RN-2400208-469DF012537B428AAA573717FBA536BA;6748708;Açu
 RN-2400208-7D117A727B76492190DED7C60F913FBA;106446;Açu
 RN-2400208-EFD0FF53E7854F97B7C9ADD33AE2AF33;449763;Açu
 RN-2400208-3F93767EF32D4B1FAAF219521DBA5D91;191377;Açu
 RN-2400208-7C822753EF4249859EC43FA15EBAC2DA;278730;Açu
 RN-2400208-965C195DF32C4752A44F54AD3671B53D;338682;Açu
 RN-2400208-88E516C30E12488EBC6A10CC03E85297;88497;Açu
 RN-2400208-84D2B41E7E7B4F629B7A75A6D3165D7E;324137;Açu
 RN-2400208-002C5FB44D5149B9A2672F4DD576722F;2989967;Açu
 RN-2400208-8F86BCBD4DA74B7984025C8E233276EC;303065;Açu
 RN-2400208-B9011F90184A47839A57E5CC66F07863;1699282;Açu
 RN-2400208-F25F00F5E1824FB6B99EFC5B2450E1D8;361446;Açu
 RN-2400208-C47304C3E78C48779B61E25B05F6D8D9;102203;Açu
 RN-2400208-0ACEFA19C0A4498585CF13AF8A5EE714;712256;Açu
 RN-2400208-BB18EA9E32F842A6A63C6A0155F73958;434896;Açu
 RN-2400208-DA0F7F5150B543188F30F2B66D627343;143128;Açu
 RN-2400208-2626E4E0E9334D92A67266A24B4AADFE;1606596;Açu
 RN-2400208-10C5B8B2CD5D442388E1C087519D8814;0.0440;Açu
 RN-2400208-AC9012F5C6344974B5213F0FCD841B13;80857;Açu
 RN-2400208-52F047F22FE248939552D74790C4A045;380591;Açu
 RN-2400208-5D580003C2B647D2AAD7E2587045984E;103845;Açu
 RN-2400208-A8FD2D7D25964A99B3A6CABCE29998DF;101026;Açu
 RN-2400208-2DD6872C96C64782B2F1204E1DC9E83F;298281;Açu
 RN-2400208-5F8357C0FE6E4B6B8E485972299AE13E;1421111;Açu
 RN-2400208-BC7C49C841934C7F9AF79DF7D347E5E3;327507;Açu
 RN-2400208-1E809E23D6F243AD844D4242AE32ED14;525467;Açu
 RN-2400208-9F82C5D042B543AB9596FA385BED006A;283829;Açu
 RN-2400208-F79FE74DA7D34029A54D3D1C7D6E33D2;377186;Açu
 RN-2400208-D202389D83BD432F8BCD50E6F00ED07F;472868;Açu
 RN-2400208-52849A5A5D3B4C6686AA68827BAE2E18;324507;Açu
 RN-2400208-95BB307BB8E0432D8E8B8BD6236449B2;43434;Açu
 RN-2400208-5C797140D2C24BF9A6B9D6B18BAED79D;145028;Açu
 RN-2400208-AC9EEC9016BF429E9675AF042B17B1C4;374632;Açu
 RN-2400208-EF575F26CF29458183BF9254293295AA;1088724;Açu
 RN-2400208-C9C1EC9F5F054888B921947115E884E2;60863;Açu
 RN-2400208-429F78D4CD254D78A5DF6DFA183B2A91;109066;Açu
 RN-2400208-6438EDE2F81545108C891BC1791E5E5C;12023;Açu
 RN-2400208-A01E0275F4174EEE9D1AD62EEF987DC9;316927;Açu
 RN-2400208-D8C2F5BB0A814D369B0DFA937558067A;304037;Açu
 RN-2400208-2357B63A2F5647648C41BD97819ADA33;7450628;Açu
 RN-2400208-E414B4DF347B4718B3ED3E11612BEF92;422991;Açu
 RN-2400208-52105126039243D9A9F0FC7301FF0722;202144;Açu
 RN-2400208-CEFB5DCBA57D4781B37C27A63BE74D92;449820;Açu
 RN-2400208-FCA4B96CB10649D5A7CEC29912BAE4C1;300051;Açu
 RN-2400208-B713B22755944DD49218FC4D7EEB86F7;425792;Açu
 RN-2400208-D41989B77314414485BAE71BCC2BDFF3;87612;Açu
 RN-2400208-72AC3D21B203404ABF33E333708C1894;14617662;Açu
 RN-2400208-AA2A3E5E59BF4BD391765BF1EB5747EA;800415;Açu
 RN-2400208-2825D6BF6B63407A8E41D07055315CAA;14714273;Açu
 RN-2400208-902B5732A7184F44A3F2E2D099C09CC5;0.3685;Açu
 RN-2400208-16B32B931BFA488DBF6E4DD86C556840;163839;Açu
 RN-2400208-53F0DA7B49404E229A67908035E19595;179672;Açu
 RN-2400208-0E773DFE7548432E962C71E679865169;253736;Açu
 RN-2400208-390A685A71644CFE896D818FB84046B9;103211;Açu
 RN-2400208-D036BF4B8FD4464E81D93892757C9255;609494;Açu
 RN-2400208-B1CBC2719BF641C7B76AC43A08229A1F;1380461;Açu
 RN-2400208-B85F2F537B3A41D5A382E65BFBE1EC73;292996;Açu
 RN-2400208-F0ED606C3F2F494BAC6D83F635A06453;153314;Açu
 RN-2400208-117BCFCA43AF42368946FD9BD068670C;0.1800;Açu
 RN-2400208-6A50ABBA3D1442D78A15BE0298BDFE4B;0.2617;Açu
 RN-2400208-EAE41F94FC3449DFB55E13FDB23B71EE;1712062;Açu
 RN-2400208-4C6B0284408640A1B7E2870256D1277C;374953;Açu
 RN-2400208-F4A17825769A4E2F8D4712CDB5217D9A;65778;Açu
 RN-2400208-51CA9DE791214C8C8DD07F09A4CFE59D;685326;Açu
 RN-2400208-DC13D07A8DEE4E60B1C8AD279BD84A3F;169206;Açu
 RN-2400208-CC7E8AA80CEF4215892A57D5E1F155E3;62048;Açu
 RN-2400208-880A8697B1E74925AB5CAB6EAAD1D626;305952;Açu
 RN-2400208-934ECA418DAF411FAD330A537DB738FA;698423;Açu
 RN-2400208-3A46B9E541E0476D83C7913B570A0293;812040;Açu
 RN-2400208-8A988126CF9C418E9FCE2FEBD6B5A8A6;1249971;Açu
 RN-2400208-1998CF51E9A14F2098D5EE2D3B443D41;74488;Açu
 RN-2400208-77C97EFC56EE4A258D9BFDA6E57B5311;3653620;Açu
 RN-2400208-276883934F5141649D02C66309D09CC0;3068033;Açu
 RN-2400208-73747A3DFACC4A459E6F984F0E56C6D0;442012;Açu
 RN-2400208-49804EDCF7EF470086B7FF53F3EF9474;54836;Açu
 RN-2400208-4D72AF2633634875904F72D4FDD0E567;423998;Açu
 RN-2400208-DD372ECC17EC45588E4D7B4149B6D9FE;424292;Açu
 RN-2400208-1B57579AE1F54671B48F065BE3F7443E;866848;Açu
 RN-2400208-70C47C4C3498428DB28C765BA978F5C1;530009;Açu
 RN-2400208-6EE760A406DD47AA8E28AEBFB0444DB6;45893;Açu
 RN-2400208-49FB06999794451C8DFA1EB031F3BFA5;734931;Açu
 RN-2400208-995FCCE592FF4196A516CE45A9F2974C;101088;Açu
 RN-2400208-A4CDFE1D51024CED9E767D52C6041F9C;122550;Açu
 RN-2400208-88BA7A78E53840EDB94C079F59B521E2;190202;Açu
 RN-2400208-99199E3A142A4DB298966C1BCC4A7759;345673;Açu
 RN-2400208-5D8FBE7CAD0A48198B2B79488F9B99BA;127527;Açu
 RN-2400208-4B8C05B3D88742B3AFEB19555883CAB6;406156;Açu
 RN-2400208-6946FED4A7C34119BF0812D5EB5D81C0;67100;Açu
 RN-2400208-E4CDAEBEA20E402A976E5BE20B6DA8EB;192647;Açu
 RN-2400208-F61DDD58032F4059887A50796FB7ACFE;144891;Açu
 RN-2400208-C12D8577E04747A9A85DAE2666E36DD0;2403189;Açu
 RN-2400208-EEF1D159E8934A03820693E188BF5F73;10554005;Açu
